wP,wF,wD,S_no_RL,S_RL,equilibrium_pairs,defender_value
0.05,0.35,0.6,0.6701597795709505,0.35284263093788065,dRID:AD,-0.6528426309378808
0.05,0.4,0.55,0.6300493812733714,0.32343907835972396,dRID:AD,-0.623439078359724
0.05,0.45,0.5,0.5899389829757922,0.2940355257815672,dRID:AD,-0.5940355257815673
0.05,0.5,0.45,0.5498285846782129,0.26463197320341053,dRID:AD,-0.5646319732034106
0.05,0.55,0.4,0.5097181863806337,0.2352284206252538,dRID:AD,-0.5352284206252538
0.05,0.6,0.35,0.4696077880830545,0.20582486804709704,dRID:AD,-0.5058248680470971
0.05,0.65,0.3,0.4294973897854753,0.17642131546894033,dRID:AD,-0.4764213154689404
0.05,0.7,0.25,0.38938699148789613,0.1470177628907836,dRID:AD,-0.44701776289078365
0.05,0.75,0.2,0.3492765931903169,0.1176142103126269,dRID:AD,-0.4176142103126269
0.05,0.8,0.15,0.30916619489273767,0.08821065773447016,dRID:A0,-0.30000000000000004
0.05,0.85,0.1,0.26905579659515844,0.05880710515631345,dRID:A0,-0.30000000000000004
0.05,0.9,0.05,0.22894539829757923,0.029403552578156723,dRID:A0,-0.30000000000000004
0.05,0.95,0.0,0.188835,0.0,dRID:A0,-0.30000000000000004
0.1,0.0,0.9,0.9068571693564259,0.5292639464068211,dRID:AD,-0.8292639464068211
0.1,0.05,0.85,0.8667467710588468,0.49986039382866426,dRID:AD,-0.7998603938286644
0.1,0.1,0.8,0.8266363727612676,0.4704568412505076,dRID:AD,-0.7704568412505076
0.1,0.15,0.75,0.7865259744636883,0.44105328867235083,dRID:AD,-0.7410532886723509
0.1,0.2,0.7,0.746415576166109,0.4116497360941941,dRID:AD,-0.7116497360941941
0.1,0.25,0.65,0.7063051778685299,0.3822461835160374,dRID:AD,-0.6822461835160374
0.1,0.3,0.6,0.6661947795709505,0.35284263093788065,dRID:AD,-0.6528426309378808
0.1,0.35,0.55,0.6260843812733714,0.32343907835972396,dRID:AD,-0.623439078359724
0.1,0.4,0.5,0.5859739829757922,0.2940355257815672,dRID:AD,-0.5940355257815673
0.1,0.45,0.45,0.5458635846782129,0.26463197320341053,dRID:AD,-0.5646319732034106
0.1,0.5,0.4,0.5057531863806337,0.2352284206252538,dRID:AD,-0.5352284206252538
0.1,0.55,0.35,0.4656427880830545,0.20582486804709704,dRID:AD,-0.5058248680470971
0.1,0.6,0.3,0.42553238978547525,0.17642131546894033,dRID:AD,-0.4764213154689404
0.1,0.65,0.25,0.38542199148789613,0.1470177628907836,dRID:AD,-0.44701776289078365
